VEHICLE LEVEL,CLASS_Hot_Hatch,CLASS_Sports,CLASS_Performance,CLASS_Super,CLASS_Hyper,CLASS_Bonus,CLASS_Superbike,ktm_rc8_r,yam_yzf_r1,kaw_zx10_r,bi_bb3,duc_1098,hon_cbr1000_rr_sp,bmw_s1000_rr_sp,mv_agusta_f4_rr,yam_yzf_r1m,duc_1299_pan_s,duc_desmo_rr,kaw_h2,ebr_1190_rx,ebr_1190_sx,ktm_1290_sd,suz_gsxr_1000,suz_gsx_s1000,mv_brut_1090,mv_agusta_f4_rc,apr_rsv4_rf
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,20000,20000,20000,20000,20000,20000,40000,25000,25000,30000,30000,35000,35000,40000,40000,45000,45000,50000,50000,40000,40000,40000,40000,40000,40000,40000,40000
3,45000,45000,45000,45000,45000,45000,70000,45000,45000,50000,50000,60000,60000,70000,70000,80000,80000,90000,90000,70000,70000,70000,70000,70000,70000,70000,70000
4,75000,75000,75000,75000,75000,75000,105000,70000,70000,75000,75000,90000,90000,105000,105000,120000,120000,137500,137500,105000,105000,105000,105000,105000,105000,105000,105000
5,110000,110000,110000,110000,110000,110000,145000,100000,100000,105000,105000,125000,125000,145000,145000,167500,167500,192500,192500,145000,145000,145000,145000,145000,145000,145000,145000
6,152500,152500,152500,152500,152500,152500,192500,135000,135000,140000,140000,165000,165000,192500,192500,222500,222500,255000,255000,192500,192500,192500,192500,192500,192500,192500,192500
7,202500,202500,202500,202500,202500,202500,247500,175000,175000,180000,180000,212500,212500,247500,247500,285000,285000,327500,327500,247500,247500,247500,247500,247500,247500,247500,247500
8,260000,260000,260000,260000,260000,260000,310000,220000,220000,227500,227500,267500,267500,310000,310000,355000,355000,410000,410000,310000,310000,310000,310000,310000,310000,310000,310000
9,327500,327500,327500,327500,327500,327500,380000,270000,270000,282500,282500,330000,330000,380000,380000,435000,435000,502500,502500,380000,380000,380000,380000,380000,380000,380000,380000
10,405000,405000,405000,405000,405000,405000,460000,325000,325000,345000,345000,400000,400000,460000,460000,525000,525000,605000,605000,460000,460000,460000,460000,460000,460000,460000,460000
11,495000,495000,495000,495000,495000,495000,550000,385000,385000,415000,415000,480000,480000,550000,550000,625000,625000,722500,722500,550000,550000,550000,550000,550000,550000,550000,550000
12,597500,597500,597500,597500,597500,597500,650000,450000,450000,495000,495000,570000,570000,650000,650000,740000,740000,855000,855000,650000,650000,650000,650000,650000,650000,650000,650000
13,715000,715000,715000,715000,715000,715000,765000,525000,525000,585000,585000,670000,670000,765000,765000,870000,870000,1002500,1002500,765000,765000,765000,765000,765000,765000,765000,765000
14,847500,847500,847500,847500,847500,847500,900000,615000,615000,690000,690000,785000,785000,900000,900000,1020000,1020000,1170000,1170000,900000,900000,900000,900000,900000,900000,900000,900000
15,1000000,1000000,1000000,1000000,1000000,1000000,1060000,730000,730000,820000,820000,925000,925000,1060000,1060000,1195000,1195000,1362500,1362500,1060000,1060000,1060000,1060000,1060000,1060000,1060000,1060000
